ukhoId,ukhoName,ukhoLocation,gmaAddress,gmaLatitude,gmaLongitude,gmaCity,gmaCountry,gmaStatus
1622,Les Heaux De Brehat,France,"Les Héaux, France",48.90755799999999,-3.0937009,,France,done
7206A,Lianfeng,China,"Huaihe Rd, Rudong Xian, Nantong Shi, Jiangsu Sheng, China",32.3488677,121.1767448,Nantong Shi,China,done
1608,Les Minquiers,Channel Islands,Minquiers,48.95,-2.133,,,done
5056A,Lianga Bay,Philippine Islands,"Lianga Bay, Philippines",8.6224949,126.1979764,,Philippines,done
6940,Les Quatre Bras,Vietnam,"Les Quatre Bras, 38340, France",45.326056,5.656594999999999,,France,done
7312,Lianyungang Gang,China,"Lianyungang Baitabu Airport, Baitabuzhen, Donghai Xian, Lianyungang Shi, Jiangsu Sheng, China",34.564965,118.881707,Lianyungang Shi,China,done
1621A,Les Roches Douvres,France,"5 Rue de l'ancienne Faiencerie, Lieu-dit le Clos de la Fontaine, 35800 Saint-Briac-sur-Mer, France",48.6305223,-2.1345606,Saint-Briac-sur-Mer,France,done
7392,Liaohe Kou,China,"Liaohe Kou, China",40.6594444,122.1361111,,China,done
1673,Les Sables D'olonne,France,"85100 Les Sables-d'Olonne, France",46.49295799999999,-1.795493,Les Sables-d'Olonne,France,done
7165,Liaoluo Wan,China,"Xiao Luo Wan, Guangshan Xian, Xinyang Shi, Henan Sheng, China",31.750877,115.059582,Xinyang Shi,China,done
2452,Les Saintes,Leeward Islands,"Îles des Saintes, Guadeloupe",15.8552127,-61.63627359999999,,Guadeloupe,done
1689,Libourne,France,"33500 Libourne, France",44.91299799999999,-0.243985,Libourne,France,done
1644A,Lesconil,France,"Plobannalec-Lesconil, France",47.82099,-4.229674999999999,Plobannalec-Lesconil,France,done
3705,Libreville,Gabon,"Libreville, Gabon",0.4161976,9.4672676,Libreville,Gabon,done
6304,Lesueur Island,Australia North Coast,,,,,,not_found
1540,Liefkenshoek,Belgium,"Liefkenshoektunnel, 9130, Belgium",51.29492,4.29646,,Belgium,done
1220,Levanger,Norway,"Levanger, Norway",63.6606368,11.2559357,,Norway,done
1365,Liepaja,Latvia,"Liepāja, Latvia",56.5046678,21.010806,Liepāja,Latvia,done
5655,Lever Harbour,Solomon Islands,"Lever Harbour, Solomon Islands",-8.022499999999999,157.5883333,,Solomon Islands,done
6666,Lifuka Island (Pangai),Tonga Islands,"Pangai, Tonga",-19.811431,-174.3502613,Pangai,Tonga,done
0310A,Leverburgh,Scotland,"Leverburgh, Isle of Harris HS5, UK",57.76945199999999,-7.008350999999999,Leverburgh,United Kingdom,done
2595,Lighthouse Point,United States,"Lighthouse Point, FL, USA",26.275636,-80.08726539999999,Lighthouse Point,United States,done
6713,Levuka,Fiji Islands,"Levuka, Fiji",-17.6817232,178.8323025,Levuka,Fiji,done
5577,Liji Liji Bay,Louisiade Archipelago,,,,,,not_found
