ukhoId,ukhoName,ukhoLocation,gmaAddress,gmaLatitude,gmaLongitude,gmaCity,gmaCountry,gmaStatus
3108,Baie-Johan-Beetz,Canada,,,,,,new
5765,Baie De Gomen,New Caledonia,,,,,,new
5566A,Baiiri Island,Papua New Guinea,,,,,,new
5749A,Baie De Kouaoua,New Caledonia,,,,,,new
7269,Baijie Shan,China,,,,,,new
2004,Baie De L'oiseau,Antarctica,,,,,,new
8191,Baikal Inlet,Sakhalin West Coast,,,,,,new
5899,Bailay Creek,Australia East Coast,,,,,,new
9487,BALBOA,Panama,,,,,,new
1725,Baiona,Spain,,,,,,new
622,Balbriggan,Ireland,,,,,,new
7209,Baiquan Liedao,China,,,,,,new
5020,Baler Bay,Philippine Islands,,,,,,new
4957,Bais,Philippine Islands,,,,,,new
4160,Balhaf,Republic of Yemen,,,,,,new
4187A,Bait Al Barakah,Oman,,,,,,new
5228,BALIKPAPAN,Kalimantan,,,,,,new
7275,Baitashan,China,,,,,,new
3548,Balingo,The Gambia,,,,,,new
3803,Baixos Da Inhaca,Mozambique,,,,,,new
318,Balivanich,Scotland,,,,,,new
7343,Bajiao,China,,,,,,new
2995,Ballantynes Cove,Canada,,,,,,new
5408,Bajo,Flores,,,,,,new
6009,Ballina,Australia East Coast,,,,,,new
3659,Bakana,Nigeria,,,,,,new
726,Ballinskelligs Bay Castle,Ireland,,,,,,new
5108,Bakapit,Sabah,,,,,,new
651,Ballycastle Bay,Northern Ireland,,,,,,new
1898A,Bakar,Croatia,,,,,,new
754,Ballycotton,Ireland,,,,,,new
3668A,Bakassi Bank,Nigeria,,,,,,new
731,Ballycrovane Harbour,Ireland,,,,,,new
4843,Bakauhuni,Sumatera South West Coast,,,,,,new
693,Ballyglass (Broad Haven),Ireland,,,,,,new
854,Bakkafjordhur,Iceland,,,,,,new
690,Ballysadare Bay (Culleenamore),Ireland,,,,,,new
0855A,Bakkagerdhi,Iceland,,,,,,new
0290B,Baltasound Pier,Scotland,,,,,,new
4920,Balabac,Philippine Islands,,,,,,new
2716,BALTIMORE,United States,,,,,,new
4960,Balamban Bay,Philippine Islands,,,,,,new
743,"Baltimore, Ireland",Ireland,,,,,,new
4483,Balari Semaphore,India East Coast,,,,,,new
1369,Baltiysk,Russia,,,,,,new
5079,Balas,Sulu Archipelago,,,,,,new
3565,Bambadinca,Guinea-Bissau,,,,,,new
9055,Bamfield Inlet,"Canada, Vancouver Island",,,,,,new
4297,Bandar-E Lengeh,Iran,,,,,,new
5828,Bampfield Head,Australia,,,,,,new
4279,BANDAR-E MAHSHAHR,Iran,,,,,,new
5546,Bamu River Entrance,Papua New Guinea,,,,,,new
4303A,Bandar-E Shahid Bahonar,Iran,,,,,,new
6884,BAN BANG PAKONG,Thailand,,,,,,new
4303,BANDAR-E SHAHID RAJAI,Iran,,,,,,new
6763,Banaba,Kiribati,,,,,,new
4307,Bandar-E Sirik,Iran,,,,,,new
3584,Banana Islands,Sierra Leone,,,,,,new
9254,Bandon,United States,,,,,,new
5767,Banare Bay,New Caledonia,,,,,,new
4764,Bandong,Sumatera North East Coast,,,,,,new
4948,Banate,Philippine Islands,,,,,,new
4358A,Bandra,India West Coast,,,,,,new
6941,Banc De Corail,Vietnam,,,,,,new
247,Banff,Scotland,,,,,,new
2163,Banco Chico,Argentina,,,,,,new
6851,Bang Nara (Narathiwat),Thailand,,,,,,new
2495,Banco Serranilla,Jamaica,,,,,,new
5324,Banggai,Sulawesi East Coast,,,,,,new
3970,Bancs Africains,Seychelles,,,,,,new
6883,Bangkok,Thailand,,,,,,new
1831,"Bancs Kerkenah, East Point",Tunisia,,,,,,new
6882,BANGKOK BAR,Thailand,,,,,,new
5435,BANDANAIRA,Sermata Eilanden,,,,,,new
0637A,Bangor,Northern Ireland,,,,,,new
4303B,Bandar Abbas,Iran,,,,,,new
2833,Bangor (Penobscot River),United States,,,,,,new
4280,Bandar Deylam,Iran,,,,,,new
9193,Bangor (Puget Sound),United States,,,,,,new
4185A,Bandar Jissah,Oman,,,,,,new
5215,Banjarmasin,Kalimantan,,,,,,new
4185,Bandar Khayran,Oman,,,,,,new
3544,Banjul,The Gambia,,,,,,new
5141A,Bandar Limbang,Sarawak,,,,,,new
1032,Banka Litke,Russia,,,,,,new
4284,Bandar-E Ameri,Iran,,,,,,new
4366,Bankot,India West Coast,,,,,,new
2549A,Bannerman Town,Bahama Islands,,,,,,new
314,Barra (North Bay),Scotland,,,,,,new
3550B,Bansang,The Gambia,,,,,,new
2191,BARRA DE PARANAGUA (CANAL DA GALHETA),Brazil,,,,,,new
4959,Bantayan Island,Philippine Islands,,,,,,new
2191A,Barra De Paranagua (Canal Sueste),Brazil,,,,,,new
734,BANTRY,Ireland,,,,,,new
2240,Barra Do Jaguaribe (Aracati),Brazil,,,,,,new
5358,Banyuwangi,Jawa East Coast,,,,,,new
2211B,BARRA DO RIACHO,Brazil,,,,,,new
1911,Bar,Montenegro,,,,,,new
2245,Barra Do Timonha,Brazil,,,,,,new
2838,Bar Harbour,United States,,,,,,new
316,Barra Head,Scotland,,,,,,new
4036,Baraawe (Brava),Somalia,,,,,,new
2256,Barra Norte (Ilha Do Brigue),Brazil,,,,,,new
2524,Baracoa,Cuba,,,,,,new
2915,Barrington Passage,Canada,,,,,,new
1765A,Barbate,Spain,,,,,,new
2624,Barron River,United States,,,,,,new
0370A,Barcaldine Pier,Scotland,,,,,,new
439,BARROW (RAMSDEN DOCK),England,,,,,,new
1776,BARCELONA,Spain,,,,,,new
513,Barry,Wales,,,,,,new
482,Bardsey Island,Wales,,,,,,new
2301,Bartica,Guyana,,,,,,new
1599,Barfleur,France,,,,,,new
8633,Bartlett Cove,Alaska,,,,,,new
8716,Barlow Cove,Admiralty Island,,,,,,new
0108B,Bartlett Creek,England,,,,,,new
485,Barmouth,Wales,,,,,,new
4819,Barus,Sumatera South West Coast,,,,,,new
8921,Barnard Harbour,Canada,,,,,,new
4468,Baruva,India East Coast,,,,,,new
2737,Barnegat Inlet,United States,,,,,,new
4301,Basa'idu,Iran,,,,,,new
4095,Barnis (Berenice),Egypt,,,,,,new
